,F1,aps,context,expID,method,samples,system,thres,wo_length
136,0.04578904333605887,,unsupervised,22,invite,18,aircraft,0.009322732961656616,5
137,0.058823529411764705,,pathfinder,22,invite,18,aircraft,,5
138,0.5625000000000001,0.39131327006327005,supervised,23,cosine,18,bicycle,0.8677218312746247,5
139,0.5128205128205129,,unsupervised,23,cosine,18,bicycle,0.7676767676767677,5
140,0.7777777777777778,,pathfinder,23,cosine,18,bicycle,,5
141,0.9500000000000001,0.9751714513556619,supervised,23,invite,18,bicycle,0.21020847501599402,5
142,0.8837209302325583,,unsupervised,23,invite,18,bicycle,0.08080808080808081,5
143,1.0,,pathfinder,23,invite,18,bicycle,,5
144,0.6101694915254237,0.37764946031287194,supervised,24,cosine,32,drivetrain,0.23500799597021088,2
145,0.5217391304347825,,unsupervised,24,cosine,32,drivetrain,0.036111111111111115,2
146,0.823529411764706,,pathfinder,24,cosine,32,drivetrain,,2
147,0.24806201550387594,0.1411765937412653,supervised,24,invite,32,drivetrain,0.06861134120072294,2
148,0.0,,unsupervised,24,invite,32,drivetrain,0.5944444444444444,2
149,0.1111111111111111,,pathfinder,24,invite,32,drivetrain,,2
150,0.04905626348318893,0.03264736107185161,supervised,25,cosine,32,aircraft,0.0,2
151,0.03503010399562124,,unsupervised,25,cosine,32,aircraft,0.5,2
152,0.07881773399014778,,pathfinder,25,cosine,32,aircraft,,2
153,0.049427479532121336,0.025231095616450677,supervised,25,invite,32,aircraft,0.0012101999273791606,2
154,0.0,,unsupervised,25,invite,32,aircraft,0.5610706565024463,2
155,0.0,,pathfinder,25,invite,32,aircraft,,2
156,0.8,0.48255217005217005,supervised,26,cosine,32,bicycle,0.3962029078465307,2
157,0.7407407407407407,,unsupervised,26,cosine,32,bicycle,0.2222222222222222,2
158,1.0,,pathfinder,26,cosine,32,bicycle,,2
159,0.37735849056603776,0.18072660153087247,supervised,26,invite,32,bicycle,0.0514202440805574,2
160,0.0,,unsupervised,26,invite,32,bicycle,0.5050505050505051,2
161,0.0,,pathfinder,26,invite,32,bicycle,,2
162,0.6101694915254237,0.3943742630465625,supervised,27,cosine,32,drivetrain,0.6111111111111113,3
163,0.4444444444444445,,unsupervised,27,cosine,32,drivetrain,0.11388888888888889,3
164,0.7428571428571428,,pathfinder,27,cosine,32,drivetrain,,3
165,0.8,0.7940857786298482,supervised,27,invite,32,drivetrain,0.06301467649078887,3
166,0.7692307692307692,,unsupervised,27,invite,32,drivetrain,0.04722222222222222,3
167,0.8333333333333334,,pathfinder,27,invite,32,drivetrain,,3
168,0.07137471726564464,0.03928416609339398,supervised,28,cosine,32,aircraft,0.08333333333333336,3
169,0.07044025157232704,,unsupervised,28,cosine,32,aircraft,0.08334281488223916,3
170,0.08237986270022883,,pathfinder,28,cosine,32,aircraft,,3
171,0.05032903473308349,0.04560525404057887,supervised,28,invite,32,aircraft,0.0007712170295620643,3
172,0.03555555555555556,,unsupervised,28,invite,32,aircraft,0.013816987143019684,3
173,0.0481283422459893,,pathfinder,28,invite,32,aircraft,,3
174,0.6428571428571429,0.42329483318613753,supervised,29,cosine,32,bicycle,0.587943028998213,3
175,0.5714285714285715,,unsupervised,29,cosine,32,bicycle,0.26262626262626265,3
176,0.8888888888888888,,pathfinder,29,cosine,32,bicycle,,3
